customer_id,address,order_id,order_dt,delivery_dt,payment_method,product_id,amount
1334341,Видное,73440,2022-08-08,2022-09-24,offline,3,50
1334341,Видное,73440,2022-08-08,2022-08-20,offline,3,50
7431085,Серпухов,39895,2022-01-09,2022-02-05,online,9,5
8172912,Курск,36414,2023-02-17,2023-03-09,offline,8,39
8172912,Курск,36414,2023-02-17,2023-02-27,offline,8,39
8172912,Курск,36414,2023-02-17,2023-02-24,offline,8,39
8591362,Череповец,17514,2022-03-31,2022-05-29,offline,12,34
8591362,Череповец,17514,2022-03-31,2022-05-12,offline,12,34
8591362,Череповец,17514,2022-03-31,2022-05-07,offline,12,34
4775564,Чита,24594,2022-10-24,2022-11-25,online,5,22
4775564,Чита,24594,2022-10-24,2022-11-07,online,5,22
4775564,Чита,24594,2022-10-24,2022-11-02,online,5,22
7000636,Абакан,56277,2020-11-27,2020-12-24,offline,2,31
9700458,Нерюнгри,92384,2023-03-17,2023-03-18,offline,12,1
1083562,Нижневартовск,63941,2021-07-30,2021-08-07,online,12,18
8765352,Прохладный,62300,2022-08-27,2022-10-12,offline,12,21
2929238,Бердск,47241,2021-12-07,2022-01-03,online,10,15
1916207,Верхняя Пышма,5207,2022-08-08,2022-08-20,offline,8,31
1916207,Верхняя Пышма,5207,2022-08-08,2022-09-13,offline,8,31
8211030,Асбест,49863,2021-04-17,2021-05-16,online,14,28
8211030,Асбест,49863,2021-04-17,2021-05-22,online,14,28
8211030,Асбест,49863,2021-04-17,2021-06-10,online,14,28
2911210,Заречный,32053,2022-08-28,2022-09-11,offline,11,3
2911210,Заречный,32053,2022-08-28,2022-10-19,offline,11,3
5937818,Ногинск,14452,2022-11-21,2022-12-20,offline,12,32
9858259,Прокопьевск,62368,2020-10-27,2020-12-19,online,15,25
9858259,Прокопьевск,62368,2020-10-27,2020-11-07,online,15,25
9949746,Магнитогорск,64082,2020-03-03,2020-04-21,offline,12,15
8494844,Муром,66320,2022-12-08,2023-01-23,offline,9,39
1322312,Ржев,70207,2020-02-24,2020-03-29,offline,8,47
5635923,Александров,81463,2022-10-31,2022-12-25,online,4,1
5635923,Александров,81463,2022-10-31,2022-12-11,online,4,1
1086528,Березники,325,2021-12-04,2021-12-27,offline,11,2
1086528,Березники,325,2021-12-04,2022-01-09,offline,11,2
1322312,Ржев,22138,2022-06-12,2022-06-25,offline,15,40
5132474,Донской,14392,2021-02-05,2021-03-26,online,12,30
5132474,Донской,14392,2021-02-05,2021-03-09,online,12,30
6235073,Верхняя Пышма,3166,2021-04-06,2021-04-21,offline,9,10
9484200,Гусь-Хрустальный,21210,2022-10-22,2022-11-27,online,8,28
9484200,Гусь-Хрустальный,21210,2022-10-22,2022-12-21,online,8,28
6888217,Кемерово,20435,2022-09-18,2022-10-02,offline,12,26
6888217,Кемерово,20435,2022-09-18,2022-11-10,offline,12,26
2407002,Усть-Илимск,39536,2020-03-25,2020-05-15,online,9,7
2407002,Усть-Илимск,39536,2020-03-25,2020-05-05,online,9,7
